entidad_nombre;ambito_nombre;subcategoria_nombre;recurso_programa;descripcion;objetivo;destinatarios;periodo_inicio;periodo_fin;entidad_gestora_nombre;financiacion_nombre;servicio_nombre;activo;contacto_nombre1;contacto_email1;contacto_tel1
Servicio Andaluz de Empleo (SAE);Empleo y Desarrollo;Orientación e Intermediación;Red EURES;Información y asesoramiento sobre ofertas de empleo de otros países de Europa.;Consultar ofertas disponibles en la Red EURES, ofertas destacadas y procesos de selección.;Personas demandantes de empleo.;;;SAE.;Junta de Andalucía-Consejería de Empleo Empresa y Trabajo Autónomo.;;1;;chiclanadelafrontera.sae@juntadeandalucia.es;
Servicio Andaluz de Empleo (SAE);Empleo y Desarrollo;Orientación e Intermediación;Orientación Profesional;Servicio público de orientación profesional y de atención a personas activas en la búsqueda de empleo.;Gestionar itinerarios personalizados, apoyar en programas del SAE, acompañar de forma intensiva, asesorar en currículo y técnicas de búsqueda (incluyendo TICs), e informar sobre movilidad a través de EURES.;Personas desempleadas u ocupadas.;;;SAE.;Junta de Andalucía.;;1;;chiclanadelafrontera.sae@juntadeandalucia.es;
Asociación Arrabal-AID;Empleo y Desarrollo;Orientación e Intermediación;Punto de formación Incorpora;;;;;;;;;1;;;
EMSISA;Empleo y Desarrollo;Orientación e Intermediación;Demanda de personas en búsqueda de empleo especializadas en el sector sociosanitario;;;;;;;;;1;;;
Red Araña.;Empleo y Desarrollo;Orientación e Intermediación;Proyectos Integrales;Promover actuaciones que permitan la inserción sociolaboral de las personas desempleadas con atención a colectivos vulnerables (jóvenes, mujeres, drogodependientes, minorías étnicas, inmigrantes, ex reclusos…).;Orientación, formación y acompañamiento de personas interesadas en el empleo.;Colectivos vulnerables desempleados.;2023-12-26;2025-06-25;Red Araña.;FSE;;1;;soyemprendedorcadiz@gmail.com;
Red Araña;Empleo y Desarrollo;Orientación e Intermediación;Talento Emprendedor Andalucía;;;;;;;;;1;;;
Delegación de Fomento Económico;Empleo y Desarrollo;Orientación e Intermediación;Proyectos Integrales para la Inserción Laboral;Compuesto por acciones de atención (orientación laboral y formación) y acciones de inserción (orientación para el empleo y prospección en el mercado de trabajo). Ejecución en un plazo máximo de 18 meses.;Ejecución y gestión de Proyectos Integrales para la Inserción Laboral a personas pertenecientes a colectivos vulnerables. Al menos el 40% deben lograr su inserción laboral.;Colectivos vulnerables.;;;Delegación de Fomento Económico.;Ayuntamiento de Chiclana de la Frontera.;;1;;fomento@chiclana.es;
Centro Andaluz de Emprendimiento (CADE);Empleo y Desarrollo;Apoyo al Autoempleo y Tejido Empresarial;Emprendimiento (Asesoramiento, diseño de planes de empresa, constitución, alojamiento);Servicio de atención y asesoramiento a personas emprendedoras (diseño de planes de empresa, asistencia en constitución, consultoría avanzada, etc.). Incluye alojamiento empresarial y mentorización.;Fomentar y orientar la iniciativa emprendedora. Acompañar en la creación, toma de decisiones y consolidación empresarial.;Personas emprendedoras y empresas de cualquier sector.;;;Centros Andaluces De Emprendimiento- CADE.;Consejería de Universidad Investigacion e Innovacion Junta de Andalucía.;;1;;cade.chiclanadelafrontera@andaluciaemprende.es;
Centro Andaluz de Emprendimiento (CADE);Empleo y Desarrollo;Apoyo al Autoempleo y Tejido Empresarial;Plan de Acción de la Estrategia Integral de Emprendimiento Educativo;"Herramientas de emprendimiento educativo 2024-2025: Kit de Emprendimiento, Escape Room, Hackathones, Aulas de Emprendimiento, Prácticas Formativas, etc.  
  DESTINATARIOS/AS: Colegios de Educación Infantil y Primaria (CEIP), Institutos de Educación Secundaria (IES).";;;;;Centro Andaluz de Emprendimiento (CADE).;Consejería de Universidad, Investigación e Innovación-Andalucía Emprende Fundación Pública Andaluza.;;1;cade.chiclanadelafrontera@andalucíaemprende.es;;
Red Araña;Empleo y Desarrollo;Apoyo al Autoempleo y Tejido Empresarial;Empleándote (Kit de Emprendimiento, Hackathones, etc.);Promover actuaciones que permitan la inserción sociolaboral de personas desempleadas con atención a colectivos vulnerables (jóvenes, mujeres, drogodependientes, minorías étnicas, inmigrantes, ex reclusos…).;Orientación y formación de personas interesadas en el empleo.;Colectivos vulnerables y desempleados.;2024-08-30;2025-03-15;RED ARAÑA.;INCYDE.;;1;;soyemprendedorcadiz@gmail.com;
Asociación de empresarios de Chiclana;Empleo y Desarrollo;Apoyo al Autoempleo y Tejido Empresarial;Información y Orientación a Empresas de Chiclana;La Asociación engloba a todos los sectores. Ofrece: Información sobre ayudas, cursos, asesoramiento genérico, apoyo a normas ISO, acompañamiento a reuniones con la administración y defensa de intereses.;Defender los intereses de los asociados, favoreciendo el fomento de la actividad económica y apostando por servicios que faciliten su trabajo diario.;Empresas de Chiclana (asociados).;;;Asociación de Empresarios de Chiclana.;;;1;;info@eachiclana.org;
Asociación de hosteleros;Empleo y Desarrollo;Apoyo al Autoempleo y Tejido Empresarial;Información y Orientación a Empresas de la Hostelería;;;;;;;;;1;;;
Delegación de Fomento Económico;Empleo y Desarrollo;Apoyo al Autoempleo y Tejido Empresarial;Convocatoria de subvención a la contratación (Creación y fomento del empleo);Subvenciones a la microempresa, pequeña y mediana empresa y autónomos, mediante la financiación parcial del coste de la contratación de nuevos trabajadores.;Fomentar la contratación.;Personas empadronadas en Chiclana y desempleadas inscritas en el SAE durante un mínimo de seis meses ininterrumpidos.;;;Delegación de Fomento Económico.;Ayuntamiento de Chiclana de la Frontera.;;1;;fomento@chiclana.es;
Consejería de Agricultura, pesca, agua y desarrollo rural;Empleo y Desarrollo;Apoyo al Autoempleo y Tejido Empresarial;Estrategia de Desarrollo Local Leader 2023-2027 del Litoral de la Janda y Los Alcornocales;Convocatoria de ayudas para proyectos de carácter productivo y proyectos de carácter no productivo.;Impulsar el desarrollo económico, social y ambiental del territorio poniendo en valor sus recursos, el patrimonio rural y natural y el capital humano.;Administraciones públicas, colectivos sociales, pymes y personas emprendedoras.;;;Consejería de Agricultura, Pesca, Agua y Desarrollo Rural.;Fondo Europeo Agrícola de Desarrollo Rural (FEADER).;;1;;infogdr@jandalcornocales.org;
Cruz Roja Española;Empleo y Desarrollo;Colectivos Específicos (Mujer);Puentes por la Igualdad en el Empleo Plus;Elaboración de itinerarios integrales de acceso al empleo.;Orientar, capacitar, ofrecer prácticas formativas no laborales, acciones de intermediación laboral y conseguir alianzas con empresas.;Mujeres con vulnerabilidad agravada por el género y con trayectorias de vida marcadas por la precariedad y la ausencia de derechos.;;;Cruz Roja Española - CRE.;Fondo Social Europeo - FSE.;;1;;chiclana@cruzroja.es;
Asociación Arrabal-AID;Empleo y Desarrollo;Colectivos Específicos (Mujer);Más infancia;Servicio de apoyo a menores y a sus familias que se encuentran en situación de vulnerabilidad social;Mejorar la calidad de vida, y la situación psicosocial de menores en situación de vulnerabilidad y de sus familias.;Menores de edad y familiares expuestos a la exclusión y vulnerabilidad social.;;;ARRABAL.;FUNDACIÓN LA CAIXA;;1;;chiclana@arrabalempleo.org;
Delegación de la mujer de Chiclana;Empleo y Desarrollo;Colectivos Específicos (Mujer);Formación Mejora Empleabilidad;Impartir cursos y talleres de capacitación laboral.;Capacitar a mujeres en el ámbito laboral.;Mujeres desempleadas.;;;Delegación de la mujer de Chiclana.;Ayuntamiento de Chiclana.;;1;;mujer@chiclana.es;
Delegación de la mujer de Chiclana;Empleo y Desarrollo;Colectivos Específicos (Mujer);Orientación Laboral;Orientación laboral y acompañamiento en la búsqueda activa de empleo.;Orientar a mujeres en la búsqueda de empleo.;Mujeres en situación de desempleo.;;;Delegación de la mujer de Chiclana.;Ayuntamiento de Chiclana.;;1;;mujer@chiclana.es;
Cruz Roja Española;Empleo y Desarrollo;Colectivos Específicos (Jóvenes);Aceleradores GO de Empleo Juvenil;Oferta formativa de capacitación profesional para personas jóvenes y orientación laboral.;Orientación laboral y capacitación profesional.;Personas jóvenes inscritos en garantía juvenil.;;;Cruz Roja Española - CRE.;Fondo Social Europeo - FSE.;;1;;chiclana@cruzroja.es;
Asociación Arrabal-AID;Empleo y Desarrollo;Colectivos Específicos (Jóvenes);Youth Business Spain (YBS);Acompañamiento a personas jóvenes emprendedoras.;Facilitar a las personas jóvenes el apoyo para poner en marcha y hacer crecer sus negocios ayudándolos a crear empleo.;Personas jóvenes con iniciativa emprendedora.;;;ARRABAL.;Fundación YOUTH BUSINESS SPAIN.;;1;;chiclana@arrabalempleo.org;
Asociación de Familias Solidarias AFASODE;Empleo y Desarrollo;Colectivos Específicos (Jóvenes);Abriendo Puertas (Cualificación y formación para mejora de la empleabilidad e inserción);;;;;;;;;1;;;
Asociación de Familias Solidarias AFASODE;Empleo y Desarrollo;Colectivos Específicos (Jóvenes);Emancipa;;;;;;;;;1;;;
Asociación AMUCODICH;Empleo y Desarrollo;Colectivos Específicos (Diversidad funcional);Emplea 2;;;;;;;;;1;;;
Asociación Avalón;Empleo y Desarrollo;Colectivos Específicos (Diversidad funcional);"Taller ""Soy Capaz""";;;;;;;;;1;;;
La Rampa (Asoc. de personas con discapacidad física y orgánica);Empleo y Desarrollo;Colectivos Específicos (Diversidad funcional);Colaboración de Orientación Laboral por parte de FEGADI;;;;;;;;;1;;;
Asociación Arrabal-AID;Empleo y Desarrollo;Colectivos Específicos (Diversidad funcional);Experiencias Profesionales para el Empleo;;;;;;;;;1;;;
Asociación Arrabal-AID;Empleo y Desarrollo;Colectivos Específicos (Diversidad funcional);Incorpora;;;;;;;;;1;;;
Fundación Once;Empleo y Desarrollo;Colectivos Específicos (Diversidad funcional);Andalucía Orienta Colectivos Específicos;;;;;;;;;1;;;
Fundación Once;Empleo y Desarrollo;Colectivos Específicos (Diversidad funcional);Proyecto Pisadas de Dignidad;;;;;;;;;1;;;
Fundación Once;Empleo y Desarrollo;Colectivos Específicos (Diversidad funcional);Proyecto Mujeres en Modo ON;;;;;;;;;1;;;
Fundación Once;Empleo y Desarrollo;Colectivos Específicos (Diversidad funcional);Programa Portalento;;;;;;;;;1;;;
Asodawn;Empleo y Desarrollo;Colectivos Específicos (Diversidad funcional);Programa de Transición a la Vida Adulta;;;;;;;;;1;;;
Asodawn;Empleo y Desarrollo;Colectivos Específicos (Diversidad funcional);Programa de ILA;;;;;;;;;1;;;
Asociación Arrabal-AID;Empleo y Desarrollo;Colectivos Específicos (Riesgo de exclusión);Proyectos Integrales Jóvenes para la Inserción;;;;;;;;;1;;;
Asociación Arrabal-AID;Empleo y Desarrollo;Colectivos Específicos (Riesgo de exclusión);Priama: Programa de intervención para agresores en medidas alternativas;;;;;;;;;1;;;
Asociación Arrabal-AID;Empleo y Desarrollo;Colectivos Específicos (Riesgo de exclusión);Rumbo al Cambio;;;;;;;;;1;;;
Asociación Arrabal-AID;Empleo y Desarrollo;Colectivos Específicos (Riesgo de exclusión);Más Empleo (Itinerarios de inserción sociolaboral);;;;;;;;;1;;;
Asociación Arrabal-AID;Empleo y Desarrollo;Colectivos Específicos (Riesgo de exclusión);Andalucía Orienta;;;;;;;;;1;;;
Cáritas Diocesana de Cádiz;Empleo y Desarrollo;Colectivos Específicos (Riesgo de exclusión);Programa de Empleo (Orientación y capacitación para la búsqueda activa de empleo);Orientación y capacitación para la búsqueda activa de empleo.;Capacitar a personas con dificultades para acceder al mercado laboral.;Personas en situación de exclusión o vulnerabilidad social.;;;Cáritas Diocesana de Cádiz.;Propia de Cáritas.;;1;;chiclana@caritascadiz.es;
IEDT Diputación de Cádiz;Empleo y Desarrollo;Colectivos Específicos (Riesgo de exclusión);Unidad Andalucía Orienta REX (Orientación laboral especializada);Orientación laboral especializada.;Mejorar la empleabilidad de las personas con mayor dificultad para acceder al mercado laboral.;Personas en riesgo de exclusión social.;;;IEDT Diputación de Cádiz.;Fondo Social Europeo - FSE.;;1;;iedt.chiclana.orienta@gmail.com;
Delegación de Servicios Sociales;Inclusión Socio-Familiar;Familias;A tu lado (Acompañamiento emocional a familias de menores víctimas de violencia sexual);;;;;;;;;1;;;
Delegación de Servicios Sociales;Inclusión Socio-Familiar;Familias;Entre Dos Lunas (Intervención psicosocial a padres/madres en separación/divorcio);;;;;;;;;1;;;
Delegación de Servicios Sociales;Inclusión Socio-Familiar;Familias;Mesa Local de Trabajo con Menores en Situación de Riesgo Social;;;;;;;;;1;;;
Delegación de Servicios Sociales;Inclusión Socio-Familiar;Familias;El Ayuntamiento con las Familias;;;;;;;;;1;;;
Delegación de Servicios Sociales;Inclusión Socio-Familiar;Familias;SIVOA (Servicio de Información, Valoración, Orientación y Asesoramiento);;;;;;;;;1;;;
Delegación de Servicios Sociales;Inclusión Socio-Familiar;Familias;SAD (Servicio de Ayuda a Domicilio - preventivas, asistenciales y rehabilitadoras);;;;;;;;;1;;;
Delegación de la Mujer;Inclusión Socio-Familiar;Familias;Familias Coeducadoras (Talleres para promover una educación en igualdad);;;;;;;;;1;;;
Delegación de Salud y Bienestar animal;Inclusión Socio-Familiar;Familias;"Escuela de Familia (Difusión de programas ""Creciendo en Salud"" y ""Forma Joven"")";;;;;;;;;1;;;
Delegación de Educación;Inclusión Socio-Familiar;Familias;Formación a Familias (Espacio de encuentro entre familia y escuela);;;;;;;;;1;;;
Cruz Roja Española;Inclusión Socio-Familiar;Familias;Inclusión Sociofamiliar (Garantía de suministros básicos y ahorro energético);;;;;;;;;1;;;
Cáritas Diocesana de Cádiz;Inclusión Socio-Familiar;Familias;Programa de Familia;;;;;;;;;1;;;
Asoc. Familias Solidarias;Inclusión Socio-Familiar;Familias;Campaña de Difusión sobre el Acogimiento Familiar;;;;;;;;;1;;;
Delegación de Servicios Sociales;Inclusión Socio-Familiar;Infancia y Juventud;Programa de Intervención Psicológica Integral con Adolescentes;;;;;;;;;1;;;
Delegación de Servicios Sociales;Inclusión Socio-Familiar;Infancia y Juventud;Tren de las Terceras Oportunidades;;;;;;;;;1;;;
Delegación de Servicios Sociales;Inclusión Socio-Familiar;Infancia y Juventud;Proyecto ¿Y tu qué piensas?;;;;;;;;;1;;;
Delegación de Servicios Sociales;Inclusión Socio-Familiar;Infancia y Juventud;Children and Surf (Inclusión Social a través del Baloncesto);;;;;;;;;1;;;
Delegación de Mujer;Inclusión Socio-Familiar;Infancia y Juventud;Puntos de Información sobre Hábitos Saludables;;;;;;;;;1;;;
Delegación de Mujer;Inclusión Socio-Familiar;Infancia y Juventud;Red de Jóvenes por la Igualdad;;;;;;;;;1;;;
Delegación de Educación;Inclusión Socio-Familiar;Infancia y Juventud;Aula de Intervención Socioeducativa;;;;;;;;;1;;;
Delegación de Educación;Inclusión Socio-Familiar;Infancia y Juventud;Programa Reinserción Educativa;;;;;;;;;1;;;
Delegación de Consumo;Inclusión Socio-Familiar;Infancia y Juventud;Consumo Responsable;;;;;;;;;1;;;
Delegación de Consumo;Inclusión Socio-Familiar;Infancia y Juventud;Desayuno Saludable;;;;;;;;;1;;;
Asociación Arrabal-AID;Inclusión Socio-Familiar;Infancia y Juventud;Ocio Tecnosaludable;;;;;;;;;1;;;
;Inclusión Socio-Familiar;Infancia y Juventud;;;;;;;;;;1;;;
Asoc. Familias Solidarias;Inclusión Socio-Familiar;Infancia y Juventud;Proyecto Emprendiendo el Vuelo;;;;;;;;;1;;;
Asoc. Familias Solidarias;Inclusión Socio-Familiar;Infancia y Juventud;Proyecto Deconstruyendo;;;;;;;;;1;;;
Consejería de Salud;Inclusión Socio-Familiar;Infancia y Juventud;Programa Forma Joven;;;;;;;;;1;;;
Consejería de Salud;Inclusión Socio-Familiar;Infancia y Juventud;Programa Creciendo en Salud;;;;;;;;;1;;;
Consejería de Salud;Inclusión Socio-Familiar;Infancia y Juventud;Programa Salud Infantil y Adolescente (PSIA);;;;;;;;;1;;;
Cruz Roja;Inclusión Socio-Familiar;Infancia y Juventud;Promoción del Éxito Escolar;;;;;;;;;1;;;
Delegación de Juventud;Inclusión Socio-Familiar;Infancia y Juventud;Punto de Orientación y Asesoramiento (Incluye Orientación Académica);;;;;;;;;1;;;
Asoc. para la Inclusión Socioeducativa;Inclusión Socio-Familiar;Infancia y Juventud;Acompañamiento en Centros Educativos;;;;;;;;;1;;;
Asoc. para la Inclusión Socioeducativa;Inclusión Socio-Familiar;Infancia y Juventud;Taller de Juego;;;;;;;;;1;;;
Asoc. para la Inclusión Socioeducativa;Inclusión Socio-Familiar;Infancia y Juventud;Talleres de Verano;;;;;;;;;1;;;
Asoc. para la Inclusión Socioeducativa;Inclusión Socio-Familiar;Infancia y Juventud;Espacio de Encuentro;;;;;;;;;1;;;
Asoc. para la Inclusión Socioeducativa;Inclusión Socio-Familiar;Infancia y Juventud;Taller de Letras;;;;;;;;;1;;;
Asoc. para la Inclusión Socioeducativa;Inclusión Socio-Familiar;Infancia y Juventud;Acompañamiento Terapéutico;;;;;;;;;1;;;
Asoc. para la Inclusión Socioeducativa;Inclusión Socio-Familiar;Infancia y Juventud;Taller Inventar y Comer;;;;;;;;;1;;;
Asoc. para la Inclusión Socioeducativa;Inclusión Socio-Familiar;Infancia y Juventud;Apoyo a las Familias;;;;;;;;;1;;;
Asoc. Mujeres con discapacidad de Chiclana;Inclusión Socio-Familiar;Diversidad Funcional;Integra;;;;;;;;;1;;;
Asociación Arrabal-AID;Inclusión Socio-Familiar;Diversidad Funcional;Experiencia profesionales para el empleo (Prácticas EPES);;;;;;;;;1;;;
Asoc. Autismo Chiclana;Inclusión Socio-Familiar;Diversidad Funcional;Conectando Mundos: Apoyo Integral A Personas Con Autismo;Apoyo integral a personas con autismo.;Proporcionar herramientas educativas y apoyo a las familias con hijos/as con trastorno del espectro autista.;Niños/as con autismo y sus familias.;;;Asociación de Autismo de Chiclana - APNACHI.;Delegación de Servicios Sociales. Excmo. Ayto. de Chiclana de la Fra.;;1;;apnachi@hotmail.com;
Asoc. Ávalon;Inclusión Socio-Familiar;Diversidad Funcional;Taller de Verano;Programa lúdico-pedagógico que favorece el desarrollo de niños/as y personas jóvenes a través de actividades lúdicas en grupo. Incluye servicio de transporte y catering.;Mejorar las relaciones sociales, ofrecer alternativas de ocio en grupos de iguales y apoyar a la conciliación familiar.;Población menor a partir de 5 años, y jóvenes con discapacidad de Chiclana, San Fernando y Cádiz.;;;Asociación “Ávalon”.;Recursos propios y Excmo. Ayto. de Chiclana de la Fra.;;1;;asociacion.avalon@gmail.com;
Asoc. Ávalon;Inclusión Socio-Familiar;Diversidad Funcional;Taller de Teatro;;;;;;;;;1;;;
Asoc. Ávalon;Inclusión Socio-Familiar;Diversidad Funcional;Taller de Danza;;;;;;;;;1;;;
Asoc. La Rampa;Inclusión Socio-Familiar;Diversidad Funcional;Recursos de Mejora de la Salud para Personas Discapacitadas;;;;;;;;;1;;;
Asoc. La Rampa;Inclusión Socio-Familiar;Diversidad Funcional;Talleres sobre Salud;;;;;;;;;1;;;
EMSISA;Inclusión Socio-Familiar;Diversidad Funcional;Programa de Rehabilitación Municipal;Ayuda económica para rehabilitación de vivienda para personas con escasos recursos económicos.;Cubrir los gastos de materiales de las obras necesarias y/o urgentes de adaptación/reparación en la vivienda destinada a domicilio habitual.;Población con escasos recursos económicos que requieran adaptación/reparación de su vivienda.;;;Emsisa.;Emsisa.;;1;;info@emsisa.chiclana.es;
Asodawn;Inclusión Socio-Familiar;Diversidad Funcional;Talleres Ocupacionales;;;;;;;;;1;;;
Asodawn;Inclusión Socio-Familiar;Diversidad Funcional;Programa de Transición a la Vida Independiente;;;;;;;;;1;;;
Asodawn;Inclusión Socio-Familiar;Diversidad Funcional;Envejecimiento Activo con Síndrome de Dawn;;;;;;;;;1;;;
Asodawn;Inclusión Socio-Familiar;Diversidad Funcional;Taller de Arte;;;;;;;;;1;;;
Asodawn;Inclusión Socio-Familiar;Diversidad Funcional;Talleres de Expresión, Ocio y Tiempo Libre;;;;;;;;;1;;;
Asodawn;Inclusión Socio-Familiar;Diversidad Funcional;Atención Temprana;;;;;;;;;1;;;
Asodawn;Inclusión Socio-Familiar;Diversidad Funcional;Apoyo Escolar, Refuerzo Educativo y Logopeda;Acompañamiento especializado para fortalecer el aprendizaje y las habilidades comunicativas.;Ofrecer estrategias educativas personalizadas para su desarrollo integral.;Personas menores en edad escolar con Síndrome de Down y discapacidades intelectuales.;;;Asociación Down Chiclana “Asodown”.;Delegación de Servicios Sociales. Excmo. Ayto de Chiclana de la Frontera.;;1;;info@asodown.org;
Asodawn;Inclusión Socio-Familiar;Diversidad Funcional;Apoyo Psicológico;;;;;;;;;1;;;
Consejería de Salud;Inclusión Socio-Familiar;Adicciones;Plan Integral del Tabaquismo;;;;;;;;;1;;;
Asoc. Alcohólicos Rehabilitados;Inclusión Socio-Familiar;Adicciones;Atención Psicosocial a Enfermos/as Alcohólicos/as y sus Familiares;;;;;;;;;1;;;
Servicio Provincial de Drogodependencias;Inclusión Socio-Familiar;Adicciones;Servicio Provincial de Drogodependencias;;;;;;;;;1;;;
Delegación de Sanidad y Bienestar Animal;Inclusión Socio-Familiar;Adicciones;Proyecto Chiclana Saludable entre todos/as (Prevención y fomento de hábitos saludables);;;;;;;;;1;;;
